// Start Time: Unknown
// Update Rate: Various
// Filter Profile: General (1.17)
// Option Flags: AHS Enabled ICC Enabled 
// GNSS Platform: Portable
// Firmware Version: 1.4.12
PacketCounter	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
48693									0.198933	-0.063959	9.830126	-0.001334	0.001594	-0.005185	-0.030262	0.384759	1.049569			
48694									0.198948	-0.056816	9.820556	0.002181	0.001629	-0.003903	-0.030645	0.387582	1.059257			
48695									0.194142	-0.061607	9.830119	0.001203	0.002263	-0.001978	-0.025275	0.391451	1.048049			
48696									0.170331	-0.054599	9.815722	0.000279	0.000004	-0.003905	-0.021055	0.382155	1.052321			
48697									0.203757	-0.061549	9.820561	0.002536	-0.002215	-0.001989	-0.025436	0.389224	1.049984			
48698									0.179732	-0.042646	9.822924	0.000918	0.000331	-0.004547	-0.037741	0.385537	1.058641			
48699									0.177402	-0.054562	9.827702	0.001233	-0.000305	-0.001983	-0.032584	0.382427	1.047425			
48700									0.172666	-0.059349	9.827691	0.001531	0.002582	-0.004541	-0.021146	0.382254	1.054258			
48701									0.179750	-0.045026	9.822923	0.001231	0.000976	-0.004545	-0.042082	0.387754	1.052424			
48702									0.194156	-0.052083	9.818156	0.000574	0.002575	-0.004862	-0.032845	0.392329	1.059059			
48703									0.184650	-0.061659	9.822923	0.000592	0.000330	-0.003264	-0.032412	0.394259	1.051313			
48704									0.184543	-0.054521	9.830107	0.002810	0.001955	-0.002620	-0.033037	0.382923	1.057110			
48705									0.177474	-0.061701	9.825305	0.002503	0.001629	-0.004543	-0.036874	0.389396	1.043150			
48706									0.177366	-0.052182	9.830096	-0.001349	0.001915	-0.002939	-0.030766	0.380502	1.057312			
48707									0.186910	-0.049747	9.827720	-0.001634	-0.001294	-0.002306	-0.027688	0.389219	1.047842			
48708									0.189278	-0.047353	9.827725	0.002827	0.000032	-0.001342	-0.032825	0.389903	1.057119			
48709									0.191841	-0.054474	9.810971	0.003771	0.001006	-0.000057	-0.032412	0.394259	1.051313			
48710									0.184525	-0.054522	9.832501	-0.001962	0.000624	-0.005507	-0.035258	0.390097	1.058851			
48711									0.170208	-0.052223	9.830084	-0.000047	0.000962	-0.005185	-0.028172	0.382536	1.053645			
48712									0.167948	-0.064136	9.825287	0.000936	-0.001274	-0.004549	-0.026051	0.387493	1.061603			
48713									0.175135	-0.045047	9.801373	0.002189	0.000666	-0.002943	-0.025306	0.384273	1.044167			
48714									0.179824	-0.056927	9.825311	0.000600	0.000007	-0.004226	-0.035581	0.385642	1.062720			
48715									0.189331	-0.049732	9.822937	-0.000373	0.000642	-0.002943	-0.027668	0.386793	1.045902			
48716									0.182087	-0.054538	9.839677	-0.000034	-0.000320	-0.004868	-0.030412	0.392136	1.057326			
48717									0.194048	-0.042564	9.822948	0.000603	0.000968	-0.007111	-0.037217	0.387368	1.048959			
48718									0.179825	-0.061689	9.830096	0.001242	0.000013	-0.004867	-0.028192	0.384962	1.055585			
48719									0.196547	-0.063973	9.830122	0.001865	0.000344	-0.001982	-0.032502	0.394358	1.053250			
48720									0.187052	-0.056883	9.815749	0.001224	-0.000302	0.000261	-0.021135	0.391859	1.060081			
48721									0.194230	-0.061603	9.818152	0.003155	0.000354	-0.003906	-0.037126	0.387268	1.047022			
48722									0.201301	-0.063946	9.832524	0.003807	-0.000602	-0.004229	-0.032936	0.392428	1.060996			
48723									0.186892	-0.049748	9.830113	0.001878	0.000340	-0.004547	-0.030372	0.387284	1.053446			
48724									0.179807	-0.059309	9.830097	0.001905	-0.002226	-0.004232	-0.028535	0.382933	1.061393			
48725									0.182121	-0.052156	9.832498	0.001906	-0.001586	-0.005834	-0.032714	0.387378	1.053242			
48726									0.189355	-0.068777	9.839682	-0.002303	0.002226	-0.005182	-0.028353	0.382735	1.057519			
48727									0.182173	-0.052153	9.825317	0.001559	0.000657	-0.005508	-0.028030	0.387190	1.053651			
48728									0.189439	-0.059250	9.818145	-0.001022	0.001279	-0.002620	-0.030987	0.385553	1.065066			
48729									0.182246	-0.059293	9.822920	0.003133	0.000998	-0.000698	-0.020611	0.393689	1.050398			
48730									0.179875	-0.054544	9.815738	0.001211	0.002580	-0.004220	-0.030483	0.389809	1.057323			
48731									0.191792	-0.064000	9.827721	-0.000371	0.000642	-0.003584	-0.030262	0.384759	1.049569			
48732									0.172629	-0.052208	9.825301	0.001233	0.000334	-0.003584	-0.028303	0.387488	1.059462			
48733									0.184669	-0.066420	9.825314	0.000302	-0.001922	-0.004235	-0.027778	0.389318	1.049779			
48734									0.196630	-0.052066	9.806193	0.001551	0.000339	-0.002628	-0.030715	0.385255	1.059255			
48735									0.179610	-0.045032	9.842072	0.000906	0.000650	-0.002947	-0.030211	0.389511	1.051512			
48736									0.177561	-0.061697	9.813337	0.000616	-0.000318	-0.006795	-0.035127	0.385145	1.053034			
48737									0.162997	-0.052266	9.837253	0.000249	0.001287	-0.001021	-0.029868	0.391540	1.045703			
48738									0.170260	-0.052221	9.822904	0.000248	0.002888	-0.004544	-0.028555	0.385359	1.063333			
48739									0.186946	-0.054507	9.827717	0.001848	0.001625	-0.001342	-0.030140	0.391838	1.051515			
48740									0.196527	-0.056832	9.825339	0.001571	-0.001266	-0.003273	-0.025910	0.392146	1.061609			
48741									0.198914	-0.059199	9.827735	0.000270	0.000646	-0.003588	-0.029919	0.386788	1.043761			
48742									0.206163	-0.068677	9.825349	0.000579	0.002572	-0.006149	-0.035076	0.389898	1.054977			
48743									0.182086	-0.052157	9.837285	0.003800	-0.000925	-0.001990	-0.027577	0.386693	1.043965			
48744									0.179844	-0.064069	9.830094	0.002174	0.001306	-0.001983	-0.033097	0.390201	1.062930			
48745									0.167874	-0.052235	9.822900	0.004089	0.001964	-0.002303	-0.025527	0.389323	1.051921			
48746									0.184597	-0.059281	9.827711	0.001232	0.000653	-0.004229	-0.033168	0.387874	1.062927			
48747									0.187018	-0.059265	9.822928	-0.000695	0.000958	-0.003266	-0.023256	0.386902	1.052122			
48748									0.186997	-0.049743	9.815752	-0.000368	0.000639	-0.003909	-0.028373	0.385161	1.059459			
48749									0.189317	-0.059255	9.834900	0.003485	0.000031	-0.005514	-0.034734	0.391927	1.049169			
48750									0.184647	-0.052136	9.813353	0.000568	0.002573	-0.003584	-0.030372	0.387284	1.053446			
48751									0.170279	-0.056982	9.825295	-0.000035	-0.000323	-0.004551	-0.030282	0.387185	1.051509			
48752									0.172577	-0.054591	9.834874	-0.000377	0.001279	-0.003906	-0.028303	0.387488	1.059462			
48753									0.189298	-0.054495	9.832509	0.000250	0.002569	-0.004225	-0.029797	0.393867	1.045706			
48754									0.187017	-0.056885	9.820536	0.000862	0.004182	-0.001977	-0.032754	0.392230	1.057122			
48755									0.201300	-0.059185	9.827739	-0.000069	0.001608	-0.001983	-0.027818	0.394170	1.053659			
48756									0.196597	-0.056829	9.815764	-0.001341	0.001594	-0.003586	-0.026011	0.382641	1.057723			
48757									0.179750	-0.045026	9.822923	0.002172	0.001946	-0.002944	-0.041921	0.389982	1.050490			
48758									0.172718	-0.056966	9.818118	0.000586	0.001288	-0.004227	-0.019127	0.377705	1.058331			
48759									0.186910	-0.049747	9.827720	-0.000700	0.000318	-0.000703	-0.032604	0.384853	1.049365			
48760									0.184685	-0.061658	9.818136	0.003483	-0.000608	-0.003271	-0.037651	0.385438	1.056704			
48761									0.201300	-0.059185	9.827739	0.002132	0.003877	0.000907	-0.035006	0.392225	1.054980			
48762									0.187019	-0.061646	9.825320	-0.000670	-0.000648	-0.004873	-0.023709	0.387399	1.061808			
48763									0.177488	-0.052177	9.813341	0.003820	-0.000929	-0.005836	-0.027617	0.391545	1.047845			
48764									0.179982	-0.059301	9.806161	-0.000993	-0.000650	-0.003910	-0.026031	0.385067	1.059663			
48765									0.191737	-0.056860	9.827724	0.002193	0.000663	-0.004230	-0.025073	0.388827	1.042235			
